season,months,days,block,clock_hours,hours,share_of_year
S1,"Dec, Jan",62 d,H1,00–06,6 h,4.25%
S1,"Dec, Jan",62 d,H2,06–12,6 h,4.25%
S1,"Dec, Jan",62 d,H3,12–18,6 h,4.25%
S1,"Dec, Jan",62 d,H4,18–00,6 h,4.25%
S2,"Feb, Mar",59 d,H1,00–06,6 h,4.04%
S2,"Feb, Mar",59 d,H2,06–12,6 h,4.04%
S2,"Feb, Mar",59 d,H3,12–18,6 h,4.04%
S2,"Feb, Mar",59 d,H4,18–00,6 h,4.04%
S3,"Apr, May",61 d,H1,00–06,6 h,4.18%
S3,"Apr, May",61 d,H2,06–12,6 h,4.18%
S3,"Apr, May",61 d,H3,12–18,6 h,4.18%
S3,"Apr, May",61 d,H4,18–00,6 h,4.18%
S4,"Jun, Jul",61 d,H1,00–06,6 h,4.18%
S4,"Jun, Jul",61 d,H2,06–12,6 h,4.18%
S4,"Jun, Jul",61 d,H3,12–18,6 h,4.18%
S4,"Jun, Jul",61 d,H4,18–00,6 h,4.18%
S5,"Aug, Sep",61 d,H1,00–06,6 h,4.18%
S5,"Aug, Sep",61 d,H2,06–12,6 h,4.18%
S5,"Aug, Sep",61 d,H3,12–18,6 h,4.18%
S5,"Aug, Sep",61 d,H4,18–00,6 h,4.18%
S6,"Oct, Nov",61 d,H1,00–06,6 h,4.18%
S6,"Oct, Nov",61 d,H2,06–12,6 h,4.18%
S6,"Oct, Nov",61 d,H3,12–18,6 h,4.18%
S6,"Oct, Nov",61 d,H4,18–00,6 h,4.18%
